opportunity_uuid,opportunity_id,application_date_c,experiment,nimda_bgc_status_c,orientation_type_c,orientation_date_c,activation_date_c,owner_id,country,days_applied,days_active,opp_id_check,owner_check,bgc_check,country_check,days_applied_check,activation_check
0000c304-fee7-4403-8026-0c237d0d7887,dd_funnel_conversion,2025-06-01,,,instant_dash,,,0055w00000F6yh2AAB,United States,3,,OK,OK,FAIL: BGC=NULL,OK,OK for instant_dash/dropshipping,
000168c9-aab9-4cb6-be32-ff1523ea5ac1,dd_funnel_conversion,2025-06-02,,,,,,0055w00000F6yh2AAB,United States,2,,OK,OK,FAIL: BGC=NULL,OK,OK for instant_dash/dropshipping,
0002800c-05bf-41b4-9802-a569a71be757,dd_funnel_conversion,2025-06-02,,,,,,0055w00000F6yh2AAB,United States,2,,OK,OK,FAIL: BGC=NULL,OK,OK for instant_dash/dropshipping,
0002a16c-63e7-4e7f-89e4-5bdb506c6f62,dd_funnel_conversion,2025-06-02,,,instant_dash,,,0055w00000F6yh2AAB,United States,2,,OK,OK,FAIL: BGC=NULL,OK,OK for instant_dash/dropshipping,
0003ccc6-27bf-41ae-a625-9658f17c7e7e,dd_funnel_conversion,2025-06-02,,pending,instant_dash,,,0055w00000F6yh2AAB,United States,2,,OK,OK,FAIL: BGC=pending,OK,OK for instant_dash/dropshipping,
0003dd4c-78b0-434d-8280-4ccf5b64875c,dd_funnel_conversion,2025-06-02,,clear,instant_dash,2025-06-02,2025-06-02,0055w00000F6yh2AAB,United States,2,2,OK,OK,OK,OK,OK for instant_dash/dropshipping,"FAIL: orientation_type=instant_dash, activation=2025-06-02, orientation=2025-06-02"
000428af-1c70-4e2f-8340-a2e6acb5c081,dd_funnel_conversion,2025-06-02,,pending,instant_dash,,,0055w00000F6yh2AAB,United States,2,,OK,OK,FAIL: BGC=pending,OK,OK for instant_dash/dropshipping,
00056c93-d22d-45cc-8c6b-f055dbd06b8d,dd_funnel_conversion,2025-06-03,,pending,instant_dash,,,0055w00000F6yh2AAB,United States,1,,OK,OK,FAIL: BGC=pending,OK,OK for instant_dash/dropshipping,
0005962e-2a1c-4f4d-b63a-3fadf5745d7b,dd_funnel_conversion,2025-06-03,,clear,instant_dash,2025-06-03,2025-06-03,0055w00000F6yh2AAB,United States,1,1,OK,OK,OK,OK,OK for instant_dash/dropshipping,"FAIL: orientation_type=instant_dash, activation=2025-06-03, orientation=2025-06-03"
0005a5e5-7c42-4aca-b7d9-d9240d4da5c2,dd_funnel_conversion,2025-06-03,,clear,instant_dash,2025-06-03,2025-06-03,,United States,1,1,OK,FAIL: Wrong owner,OK,OK,OK for instant_dash/dropshipping,"FAIL: orientation_type=instant_dash, activation=2025-06-03, orientation=2025-06-03"
