opportunity_uuid,task_type,content,timestamp
46f54a35-01be-4f1c-a236-8088413bf0a9,call,Sample call for opportunity 46f54a35-01be-4f1c-a236-8088413bf0a9,2025-06-01 10:00:00
46f54a35-01be-4f1c-a236-8088413bf0a9,sms,Sample sms for opportunity 46f54a35-01be-4f1c-a236-8088413bf0a9,2025-06-01 10:00:00
5f03a296-1042-4346-a42e-cf54c75b3173,call,Sample call for opportunity 5f03a296-1042-4346-a42e-cf54c75b3173,2025-06-01 10:00:00
5f03a296-1042-4346-a42e-cf54c75b3173,sms,Sample sms for opportunity 5f03a296-1042-4346-a42e-cf54c75b3173,2025-06-01 10:00:00
e50fd5d6-1654-4478-ac60-cc8b0c16e2b7,call,Sample call for opportunity e50fd5d6-1654-4478-ac60-cc8b0c16e2b7,2025-06-01 10:00:00
e50fd5d6-1654-4478-ac60-cc8b0c16e2b7,sms,Sample sms for opportunity e50fd5d6-1654-4478-ac60-cc8b0c16e2b7,2025-06-01 10:00:00
47662ab8-cee9-47dd-9c5e-b4fb30272385,call,Sample call for opportunity 47662ab8-cee9-47dd-9c5e-b4fb30272385,2025-06-01 10:00:00
47662ab8-cee9-47dd-9c5e-b4fb30272385,sms,Sample sms for opportunity 47662ab8-cee9-47dd-9c5e-b4fb30272385,2025-06-01 10:00:00
bdf8dc8a-7e55-4620-9d79-63813e9d5369,call,Sample call for opportunity bdf8dc8a-7e55-4620-9d79-63813e9d5369,2025-06-01 10:00:00
bdf8dc8a-7e55-4620-9d79-63813e9d5369,sms,Sample sms for opportunity bdf8dc8a-7e55-4620-9d79-63813e9d5369,2025-06-01 10:00:00
d2735f92-7a3e-4fe2-85ba-eb95ac5fb2f7,call,Sample call for opportunity d2735f92-7a3e-4fe2-85ba-eb95ac5fb2f7,2025-06-01 10:00:00
d2735f92-7a3e-4fe2-85ba-eb95ac5fb2f7,sms,Sample sms for opportunity d2735f92-7a3e-4fe2-85ba-eb95ac5fb2f7,2025-06-01 10:00:00
4359bc9e-076c-4ef8-9f41-8e7fa2de1aed,call,Sample call for opportunity 4359bc9e-076c-4ef8-9f41-8e7fa2de1aed,2025-06-01 10:00:00
4359bc9e-076c-4ef8-9f41-8e7fa2de1aed,sms,Sample sms for opportunity 4359bc9e-076c-4ef8-9f41-8e7fa2de1aed,2025-06-01 10:00:00
2a336dd8-d84c-4694-b540-9f7fca4feb9c,call,Sample call for opportunity 2a336dd8-d84c-4694-b540-9f7fca4feb9c,2025-06-01 10:00:00
2a336dd8-d84c-4694-b540-9f7fca4feb9c,sms,Sample sms for opportunity 2a336dd8-d84c-4694-b540-9f7fca4feb9c,2025-06-01 10:00:00
c3c3857c-7e64-4ace-a38f-b76db982fa38,call,Sample call for opportunity c3c3857c-7e64-4ace-a38f-b76db982fa38,2025-06-01 10:00:00
c3c3857c-7e64-4ace-a38f-b76db982fa38,sms,Sample sms for opportunity c3c3857c-7e64-4ace-a38f-b76db982fa38,2025-06-01 10:00:00
b6b03761-3315-416f-9a36-86f705cc8d8f,call,Sample call for opportunity b6b03761-3315-416f-9a36-86f705cc8d8f,2025-06-01 10:00:00
b6b03761-3315-416f-9a36-86f705cc8d8f,sms,Sample sms for opportunity b6b03761-3315-416f-9a36-86f705cc8d8f,2025-06-01 10:00:00
64cd78ca-13b8-4a32-a57e-4fc3b77c938b,call,Sample call for opportunity 64cd78ca-13b8-4a32-a57e-4fc3b77c938b,2025-06-01 10:00:00
64cd78ca-13b8-4a32-a57e-4fc3b77c938b,sms,Sample sms for opportunity 64cd78ca-13b8-4a32-a57e-4fc3b77c938b,2025-06-01 10:00:00
50d57fae-07eb-4cc8-9ace-8413800631e1,call,Sample call for opportunity 50d57fae-07eb-4cc8-9ace-8413800631e1,2025-06-01 10:00:00
50d57fae-07eb-4cc8-9ace-8413800631e1,sms,Sample sms for opportunity 50d57fae-07eb-4cc8-9ace-8413800631e1,2025-06-01 10:00:00
56004c93-d36a-4c8c-a4c6-c9948e079998,call,Sample call for opportunity 56004c93-d36a-4c8c-a4c6-c9948e079998,2025-06-01 10:00:00
56004c93-d36a-4c8c-a4c6-c9948e079998,sms,Sample sms for opportunity 56004c93-d36a-4c8c-a4c6-c9948e079998,2025-06-01 10:00:00
9317baeb-ba7c-4dd0-898c-9afd6164d106,call,Sample call for opportunity 9317baeb-ba7c-4dd0-898c-9afd6164d106,2025-06-01 10:00:00
9317baeb-ba7c-4dd0-898c-9afd6164d106,sms,Sample sms for opportunity 9317baeb-ba7c-4dd0-898c-9afd6164d106,2025-06-01 10:00:00
77097945-f63e-439c-b76d-ca84f948331e,call,Sample call for opportunity 77097945-f63e-439c-b76d-ca84f948331e,2025-06-01 10:00:00
77097945-f63e-439c-b76d-ca84f948331e,sms,Sample sms for opportunity 77097945-f63e-439c-b76d-ca84f948331e,2025-06-01 10:00:00
fe809d3c-0b53-400b-a01c-56dc07be558e,call,Sample call for opportunity fe809d3c-0b53-400b-a01c-56dc07be558e,2025-06-01 10:00:00
fe809d3c-0b53-400b-a01c-56dc07be558e,sms,Sample sms for opportunity fe809d3c-0b53-400b-a01c-56dc07be558e,2025-06-01 10:00:00
6c9c5eb0-c62e-4c72-a8ee-8d7818a0b7cc,call,Sample call for opportunity 6c9c5eb0-c62e-4c72-a8ee-8d7818a0b7cc,2025-06-01 10:00:00
6c9c5eb0-c62e-4c72-a8ee-8d7818a0b7cc,sms,Sample sms for opportunity 6c9c5eb0-c62e-4c72-a8ee-8d7818a0b7cc,2025-06-01 10:00:00
d9b773f9-55f7-48bc-9c76-414ebc421bb7,call,Sample call for opportunity d9b773f9-55f7-48bc-9c76-414ebc421bb7,2025-06-01 10:00:00
d9b773f9-55f7-48bc-9c76-414ebc421bb7,sms,Sample sms for opportunity d9b773f9-55f7-48bc-9c76-414ebc421bb7,2025-06-01 10:00:00
125ebf48-7faf-4de0-a8c5-209342eb456c,call,Sample call for opportunity 125ebf48-7faf-4de0-a8c5-209342eb456c,2025-06-01 10:00:00
125ebf48-7faf-4de0-a8c5-209342eb456c,sms,Sample sms for opportunity 125ebf48-7faf-4de0-a8c5-209342eb456c,2025-06-01 10:00:00
