min_timestamp,tag_grouping,opportunity_uuid,message,direction,application_date_c,bgc_conversion_7d,full_conversion,task_row_count,total_task_count,bucket_production
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,I can text my license to you,Inbound,2025-03-20,True,True,3,17,OBJ-DL-001
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,I used 724.309.7372 for picture of license and photo. 724.309.2737 will be the number  I use,Inbound,2025-03-20,True,True,4,17,OBJ-DL-001
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,Tomorrow,Inbound,2025-03-20,True,True,5,17,UNCLASSIFIED
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,Any chance to get the address offline,Inbound,2025-03-20,True,True,8,17,OBJ-LOC-001
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,I think I did,Inbound,2025-03-20,True,True,10,17,OBJ-DL-001
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,"No problem,  so far so good",Inbound,2025-03-20,True,True,11,17,UNCLASSIFIED
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,"Should I throw the food away, it has been 20 minutes",Inbound,2025-03-20,True,True,13,17,UNCLASSIFIED
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,Thank you,Inbound,2025-03-20,True,True,16,17,UNCLASSIFIED
2025-03-25 16:34:15.000000 UTC,UpF,009f5a49-cc41-4a83-93c3-38e3d6b0931e,"Security on my phone, will not allow Google read and write access, .y other job insist I keep it that way",Inbound,2025-03-20,True,True,17,17,OBJ-GJ-001
2025-02-10 17:36:04.000000 UTC,UpF,00ae62c9-3f92-447f-87b4-4cd3dd3ed2b6,Yes,Inbound,2025-02-05,,,1,21,UNCLASSIFIED
2025-02-10 17:36:04.000000 UTC,UpF,00ae62c9-3f92-447f-87b4-4cd3dd3ed2b6,It won't let me,Inbound,2025-02-05,,,3,21,UNCLASSIFIED
2025-02-10 17:36:04.000000 UTC,UpF,00ae62c9-3f92-447f-87b4-4cd3dd3ed2b6,The background check is saying my driver's license is invalid when it's not,Inbound,2025-02-05,,,5,21,OBJ-CP-001
