Inbound_Message,Bucket_ID,Bucket_Title,Suggested_Response_Strategy,Did_Convert,BGC_Conversion
I don't have a license wanted to do deliveries on a bicycle,OBJ-BK-001,Bike Dasher - No Bike,"1) Acknowledge the immediate obstacle of lacking a bike and reassure the applicant they can still proceed. | 2) Provide practical alternatives like borrowing or renting a bike, or dashing on an electric scooter (such as a Bird or Lime) if permitted. | 3) Encourage them to begin delivering in any capacity while they secure a permanent bike. | SOCIAL PROOF: Do you have the option of borrowing a bike from a friend?; Do you have the ability to be a walk dasher in your area? | ASK: What originally brought you to DD?; What does your schedule typically look like? | URGENCY: If you start exploring bike options now, you could begin earning extra money by next week.",False,True
I dont have a drivers liscense i have a ebike,OBJ-BK-001,Bike Dasher - No Bike,"1) Acknowledge the immediate obstacle of lacking a bike and reassure the applicant they can still proceed. | 2) Provide practical alternatives like borrowing or renting a bike, or dashing on an electric scooter (such as a Bird or Lime) if permitted. | 3) Encourage them to begin delivering in any capacity while they secure a permanent bike. | SOCIAL PROOF: Do you have the option of borrowing a bike from a friend?; Do you have the ability to be a walk dasher in your area? | ASK: What originally brought you to DD?; What does your schedule typically look like? | URGENCY: If you start exploring bike options now, you could begin earning extra money by next week.",,
Y'all don't accept e bike up here,OBJ-BK-001,Bike Dasher - No Bike,"1) Acknowledge the immediate obstacle of lacking a bike and reassure the applicant they can still proceed. | 2) Provide practical alternatives like borrowing or renting a bike, or dashing on an electric scooter (such as a Bird or Lime) if permitted. | 3) Encourage them to begin delivering in any capacity while they secure a permanent bike. | SOCIAL PROOF: Do you have the option of borrowing a bike from a friend?; Do you have the ability to be a walk dasher in your area? | ASK: What originally brought you to DD?; What does your schedule typically look like? | URGENCY: If you start exploring bike options now, you could begin earning extra money by next week.",,True
Yes but I am asked for a license when I want to use my bike I just got. I just can't get pass that...,OBJ-BK-001,Bike Dasher - No Bike,"1) Acknowledge the immediate obstacle of lacking a bike and reassure the applicant they can still proceed. | 2) Provide practical alternatives like borrowing or renting a bike, or dashing on an electric scooter (such as a Bird or Lime) if permitted. | 3) Encourage them to begin delivering in any capacity while they secure a permanent bike. | SOCIAL PROOF: Do you have the option of borrowing a bike from a friend?; Do you have the ability to be a walk dasher in your area? | ASK: What originally brought you to DD?; What does your schedule typically look like? | URGENCY: If you start exploring bike options now, you could begin earning extra money by next week.",,
Been extremely busy with my main job,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
Do I have to schedule a time to make deliveries?,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
Everytime I submit a picture of my id it just freezes and doesn't process,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
Hey Alex! Thanks for the update. I'm busy at the moment.  I was hoping to start in the summer?,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
"Hi Alex, I'm just trying to set up my account. The first time I tried they said they couldn't confirm my identity, so I tried again. Is there something I did wrong?",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
Hopefully I will get some free time...thanks,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
