tag_grouping,message,category_20,bucket_original,full_conversion
AnD AI,"That's awesome, Ameera! I'm really excited for you to start earning with DoorDash. Now would be a great time to get out there and get started. Do you have a few minutes to give it a try today?",Scheduling Issues,TSI-WN-001,
AnD AI,"Hey Ameera, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,No,Unclassified,TSI-WN-001,
AnD AI,"Hey Chynna, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Chynna, you're all set to start delivering with DoorDash. Open the app and start earning today! Reply 'STOP' to opt out",App Issues,TSI-WN-001,
AnD AI,"Hi Chynna, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"No worries, Adam! You actually don't need the insulated bags to start dashing. You can begin accepting orders right away and get familiar with the app. Plus, you'll start earning even before your kit arrives! Want to give it a try today?",App Issues,TSI-WN-001,True
AnD AI,Waiting on insulated bags to be delivered,Wait Time,TSI-WN-001,True
AnD AI,"Hey Adam, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,I'm just scared and nervous,Vehicle Issues,TSI-WN-001,True
AnD AI,"Hey Maria, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,"It's completely normal to feel that way at first! The great thing about DoorDash is that you can dash whenever it fits into your schedule, even if it's just for a short time. Many Dashers find it easy to work around their busy lives. Do you think you might have a little time this week to give it a try and see how it feels?",Personal Circumstances,TSI-WN-001,True
AnD AI,"That's awesome, Maria! Thank you for your service. It's completely normal to feel nervous, but many service members find dashing on weekends a great way to earn extra while off duty. Even a few sessions can add up quickly. Are you planning to try it out this weekend and see how it goes?",Encouragement,TSI-WN-001,True
AnD AI,Yes I'm able to this weekend,Unclassified,TSI-WN-001,True
AnD AI,Day job. Hoping to run on weekends,Unclassified,TSI-WN-001,
AnD AI,"Hey James, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"That sounds like a solid plan, James! Many drivers find that weekends are the perfect time to dash and earn some extra cash alongside their day jobs. It's super flexible, so you can work as much or as little as you want. If you have any questions about getting started or need tips for your first dash, just let me know! I'm here to help! .",Needs Guidance,TSI-WN-001,
AnD AI,If I can I might,Unclassified,TSI-WN-001,True
AnD AI,"Perfect! Pro Tips: Busiest times are 11-2 & 5-9, schedules are released at 12am, Red Areas=Dash Now & dashing by top national chains should help you receive more orders! the weekends are usually better for orders so if you get a chance tonight, let me know how it goes! .",Needs Guidance,TSI-WN-001,True
AnD AI,"I work directly with DoorDash to help Dashers like you get started and make sure that the first few deliveries go as smoothly as possible! I totally get that time is tight. When you do have a free moment, even 30 minutes could be a great way to earn some quick cash and see how it feels. What does your schedule look like this week? .",Needs Guidance,TSI-WN-001,True
AnD AI,"Hey Nolan, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,Who are you with DoorDash? And I just haven't had time yet,Scheduling Issues,TSI-WN-001,True
AnD AI,"That's awesome! Weekends are perfect for getting back into the swing of things. Since you're thinking about it, why not give it a shot today and get those first deliveries under your belt?",Unclassified,TSI-WN-001,True
AnD AI,"I thought about going soon, might be able to try it this weekend",Unclassified,TSI-WN-001,True
AnD AI,Hi Marcos! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hey Marcos, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Marcos, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Hey Ronica, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,Hi Ronica! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hi Ronica, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
